StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5,Q6,Q7
2025-03-05 13:40:05,2025-03-05 13:43:38,0,216.165.95.169,100,212,1,2025-03-05 13:43:38,R_6rOOE9MoO9FBCmN,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,1,2,2,3,1,2,3,1,3,734419,2
2025-03-05 13:43:40,2025-03-05 13:47:10,0,216.165.95.169,100,210,1,2025-03-05 13:47:10,R_5VKbEKsR9NYG4Lf,,,,,40.7359,-73.9904,anonymous,EN,6,1,2,3,2,1,3,3,2,1,2,1,3,3,734419,3
2025-03-05 13:36:07,2025-03-05 14:13:58,0,216.165.95.155,100,2270,1,2025-03-05 14:13:58,R_7AA1UUI9hcaFV4t,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,3,2,1,3,1,2,2,3,1,4,702555,4
2025-03-05 14:13:59,2025-03-05 14:21:35,0,216.165.95.155,100,455,1,2025-03-05 14:21:35,R_5WZuUwWroSxrYaZ,,,,,40.7359,-73.9904,anonymous,EN,3,1,3,2,2,3,1,3,2,1,3,1,2,4,702555,5
2025-03-05 14:23:01,2025-03-05 14:24:46,0,216.165.95.155,100,104,1,2025-03-05 14:24:46,R_3q49Gmwic36drYM,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,2,1,3,1,2,3,1,2,4,702555,6
2025-03-05 13:47:28,2025-03-05 14:32:58,0,216.165.95.169,100,2729,1,2025-03-05 14:32:58,R_12nILChYAhq6lDO,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,1,3,2,2,3,1,1,3,2,2,113401,1
2025-03-05 14:32:59,2025-03-05 14:45:17,0,216.165.95.169,100,737,1,2025-03-05 14:45:17,R_5cSXEpZW5jmpLve,,,,,40.7359,-73.9904,anonymous,EN,6,2,3,1,2,3,1,3,2,1,2,3,1,2,113401,2
2025-03-05 14:45:18,2025-03-05 14:53:07,0,216.165.95.169,100,468,1,2025-03-05 14:53:07,R_1RemzLzicTUBio1,,,,,40.7359,-73.9904,anonymous,EN,3,1,3,2,1,3,2,1,3,2,1,3,2,2,113401,3
2025-03-05 14:24:47,2025-03-05 14:57:06,0,216.165.95.155,100,1938,1,2025-03-05 14:57:06,R_3qaLrdZKGXUmGc2,,,,,40.7359,-73.9904,anonymous,EN,2,2,1,3,3,1,2,3,2,1,2,1,3,4,241574,4
2025-03-05 14:57:07,2025-03-05 15:00:45,0,216.165.95.155,100,217,1,2025-03-05 15:00:45,R_54HqmiMYTzHjwJ7,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,3,2,1,3,2,1,3,2,1,1,241574,5
2025-03-05 15:00:46,2025-03-05 15:04:44,0,216.165.95.155,100,237,1,2025-03-05 15:04:44,R_3elVEbuuQrxKNkG,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,1,2,3,1,2,1,241574,6
2025-03-05 12:10:08,2025-03-05 15:15:50,0,216.165.95.142,100,11141,1,2025-03-05 15:15:50,R_3NmljTqBktz7HbX,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,3,2,1,3,2,1,3,2,1,2,875244,1
2025-03-05 15:18:37,2025-03-05 15:22:22,0,216.165.95.142,100,224,1,2025-03-05 15:22:22,R_1gGu34J4JIsBFEo,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,2,3,1,3,2,1,2,3,1,4,875244,2
2025-03-05 15:25:24,2025-03-05 15:27:47,0,216.165.95.142,100,142,1,2025-03-05 15:27:47,R_3mntlMYDW9AdkXf,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,2,1,3,2,1,3,2,1,2,875244,3
2025-03-05 14:59:36,2025-03-05 15:29:34,0,216.165.95.169,100,1798,1,2025-03-05 15:29:34,R_79bRIIytdmFWw40,,,,,40.7359,-73.9904,anonymous,EN,3,2,3,1,2,3,1,3,2,1,3,2,1,2,445243,1
2025-03-05 15:29:36,2025-03-05 15:32:08,0,216.165.95.169,100,152,1,2025-03-05 15:32:08,R_1pLinjoA5vZOh2N,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,1,2,3,1,2,4,445243,2
2025-03-05 15:32:10,2025-03-05 15:35:17,0,216.165.95.169,100,187,1,2025-03-05 15:35:17,R_3kzJ8FCQMynUaVH,,,,,40.7359,-73.9904,anonymous,EN,6,2,3,1,2,3,1,3,2,1,2,3,1,2,445243,3
2025-03-05 15:04:45,2025-03-05 15:36:55,0,216.165.95.155,100,1929,1,2025-03-05 15:36:56,R_36au8w2y70ckeji,,,,,40.7359,-73.9904,anonymous,EN,6,2,1,3,3,1,2,3,1,2,3,2,1,3,959826,4
2025-03-05 15:36:57,2025-03-05 15:39:20,0,216.165.95.155,100,143,1,2025-03-05 15:39:21,R_61nERfdKgfcPDlB,,,,,40.7359,-73.9904,anonymous,EN,2,3,1,2,3,1,2,3,2,1,3,2,1,4,959826,5
2025-03-05 15:41:09,2025-03-05 15:42:04,0,216.165.95.155,100,55,1,2025-03-05 15:42:05,R_1veOOonrnmM3DNA,,,,,40.7359,-73.9904,anonymous,EN,6,3,1,2,3,1,2,3,1,2,3,1,2,1,959826,6
2025-03-05 16:01:11,2025-03-05 16:06:09,0,216.165.95.155,100,297,1,2025-03-05 16:06:10,R_3jlmHEpbfOnwIha,,,,,40.7359,-73.9904,anonymous,EN,6,3,2,1,3,2,1,3,2,1,3,2,1,2,6839,1
2025-03-05 16:06:14,2025-03-05 16:10:04,0,216.165.95.155,100,230,1,2025-03-05 16:10:05,R_1KJDEDhFEYeOACA,,,,,40.7359,-73.9904,anonymous,EN,3,2,1,3,2,1,3,2,1,3,2,1,3,3,6839,2
2025-03-05 16:36:35,2025-03-05 16:40:54,0,216.165.95.155,100,258,1,2025-03-05 16:40:54,R_3o6bGQIu0YzV1dt,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,3,2,1,3,2,1,3,2,1,4,638296,1
2025-03-05 16:40:56,2025-03-05 16:44:20,0,216.165.95.155,100,203,1,2025-03-05 16:44:20,R_31pIBluFIie0pA4,,,,,40.7359,-73.9904,anonymous,EN,3,2,3,1,2,3,1,3,2,1,3,2,1,4,638296,2
2025-03-05 16:44:21,2025-03-05 16:52:37,0,216.165.95.155,100,496,1,2025-03-05 16:52:38,R_7EFiudO6Fq2JPL7,,,,,40.7359,-73.9904,anonymous,EN,2,1,3,2,1,3,2,1,3,2,1,3,2,2,678167,1
2025-03-05 16:52:41,2025-03-05 16:55:50,0,216.165.95.155,100,188,1,2025-03-05 16:55:50,R_3pY28eS8fcSebEI,,,,,40.7359,-73.9904,anonymous,EN,6,1,2,3,1,2,3,1,2,3,1,2,3,3,678167,2
2025-03-06 17:20:52,2025-03-06 17:26:57,0,216.165.95.173,100,365,1,2025-03-06 17:26:58,R_5thtF3IiOSLKKKZ,,,,,40.7359,-73.9904,anonymous,EN,3,1,2,3,3,1,2,2,1,3,2,1,3,4,23205,1
2025-03-06 17:27:07,2025-03-06 17:29:31,0,216.165.95.173,100,143,1,2025-03-06 17:29:31,R_5OUOI1BgrC0aeMj,,,,,40.7359,-73.9904,anonymous,EN,2,2,1,3,3,2,1,1,3,2,2,3,1,4,23205,2
2025-03-06 22:27:10,2025-03-06 22:40:31,0,71.105.150.19,100,801,1,2025-03-06 22:40:31,R_3NTXP9SIPtyY3qk,,,,,40.7503,-74.0014,anonymous,EN,2,1,3,2,3,2,1,2,3,1,2,3,1,2,76017,1
2025-03-06 22:40:32,2025-03-06 22:45:59,0,71.105.150.19,100,327,1,2025-03-06 22:46:08,R_3X0fBRjjHcra9n7,,,,,40.7503,-74.0014,anonymous,EN,6,3,1,2,3,1,2,2,1,3,2,1,3,1,76017,2
2025-03-07 14:25:06,2025-03-07 14:30:05,0,98.109.105.90,100,299,1,2025-03-07 14:30:05,R_3ZWDD0cKAJX08St,,,,,40.734,-74.0712,anonymous,EN,6,3,1,2,3,1,2,3,1,2,3,1,2,2,917494,1
2025-03-07 14:30:09,2025-03-07 14:35:33,0,98.109.105.90,100,324,1,2025-03-07 14:35:33,R_6EgKedWflBRtPLu,,,,,40.734,-74.0712,anonymous,EN,3,2,1,3,3,2,1,2,1,3,3,2,1,4,917494,2
